No Soal,Part Nama,Nama File Audio,Kunci Jawaban,Pilihan A,Pilihan B,Pilihan C,Pilihan D,Audio Script,Pertanyaan,Penjelasan Lengkap
624,Part B: Long Conversation,listening_simulation_362.mp3,B,Cancel the project entirely.,Eat lunch and request a temporary extension from the management.,Call the department head.,Buy a new digital manual.,"Man: Hi Jane, did you get the memo about the recruitment interview schedule? 
Woman: Yes, but I am completely lost and confused about the guidelines. 
Man: Don't worry. Let's grab lunch and we can request a temporary extension from the management together.",What do the speakers plan to do?,Pertanyaan mengenai rencana tindakan. Pria mengajak wanita untuk makan siang bersama sambil melakukan penyelesaian yaitu request a temporary extension from the management.
625,Part A (Idiom),listening_simulation_363.mp3,B,The man is sitting on the office boundary fence.,The man is undecided and needs to make a firm choice.,The man already completed the assigned spreadsheet.,The man wants to complain to the supervisor.,"Man: I am honestly still on the fence about finalizing the office relocation plan. 
Woman: You need to make up your mind quickly, or the department head will be very disappointed. 
Narrator: What does the woman imply about the man?",What does the woman imply about the man?,Menguji idiom 'on the fence' (ragu-ragu) dan 'make up your mind' (mengambil keputusan). Pilihan B benar karena merefrasa makna idiom tersebut secara akurat.
626,Part B: Long Conversation,listening_simulation_364.mp3,A,She is drowning under the immense workload this week.,She forgot to attend the lunch meeting.,She lost the printed memo.,She wants to change teams.,"Man: Hi Jane, did you get the memo about the social media campaign draft? 
Woman: Yes, but I am drowning under the immense workload this week. 
Man: Don't worry. Let's grab lunch and we can schedule an urgent one-on-one meeting with the director together.",What is the woman's main concern?,Pertanyaan mengenai permasalahan utama pembicara wanita. Wanita mengeluh bahwa ia sedang mengalami kendala yaitu drowning under the immense workload this week.
627,Part B: Long Conversation,listening_simulation_364.mp3,B,Cancel the project entirely.,Eat lunch and schedule an urgent one-on-one meeting with the director.,Call the department head.,Buy a new digital manual.,"Man: Hi Jane, did you get the memo about the social media campaign draft? 
Woman: Yes, but I am drowning under the immense workload this week. 
Man: Don't worry. Let's grab lunch and we can schedule an urgent one-on-one meeting with the director together.",What do the speakers plan to do?,Pertanyaan mengenai rencana tindakan. Pria mengajak wanita untuk makan siang bersama sambil melakukan penyelesaian yaitu schedule an urgent one-on-one meeting with the director.
628,Part B: Long Conversation,listening_simulation_365.mp3,A,She is completely lost and confused about the guidelines.,She forgot to attend the lunch meeting.,She lost the printed memo.,She wants to change teams.,"Man: Hi Jane, did you get the memo about the social media campaign draft? 
Woman: Yes, but I am completely lost and confused about the guidelines. 
Man: Don't worry. Let's grab lunch and we can take a fifteen-minute walk to clear your mind together.",What is the woman's main concern?,Pertanyaan mengenai permasalahan utama pembicara wanita. Wanita mengeluh bahwa ia sedang mengalami kendala yaitu completely lost and confused about the guidelines.
629,Part B: Long Conversation,listening_simulation_365.mp3,B,Cancel the project entirely.,Eat lunch and take a fifteen-minute walk to clear your mind.,Call the department head.,Buy a new digital manual.,"Man: Hi Jane, did you get the memo about the social media campaign draft? 
Woman: Yes, but I am completely lost and confused about the guidelines. 
Man: Don't worry. Let's grab lunch and we can take a fifteen-minute walk to clear your mind together.",What do the speakers plan to do?,Pertanyaan mengenai rencana tindakan. Pria mengajak wanita untuk makan siang bersama sambil melakukan penyelesaian yaitu take a fifteen-minute walk to clear your mind.
630,Part A (Idiom),listening_simulation_366.mp3,B,The man is sitting on the office boundary fence.,The man is undecided and needs to make a firm choice.,The man already completed the assigned spreadsheet.,The man wants to complain to the supervisor.,"Man: I am honestly still on the fence about finalizing the annual tax report. 
Woman: You need to make up your mind quickly, or the supervisor will be very disappointed. 
Narrator: What does the woman imply about the man?",What does the woman imply about the man?,Menguji idiom 'on the fence' (ragu-ragu) dan 'make up your mind' (mengambil keputusan). Pilihan B benar karena merefrasa makna idiom tersebut secara akurat.
631,Part B: Long Conversation,listening_simulation_367.mp3,A,She is completely lost and confused about the guidelines.,She forgot to attend the lunch meeting.,She lost the printed memo.,She wants to change teams.,"Man: Hi Jane, did you get the memo about the quarterly inventory log? 
Woman: Yes, but I am completely lost and confused about the guidelines. 
Man: Don't worry. Let's grab lunch and we can request a temporary extension from the management together.",What is the woman's main concern?,Pertanyaan mengenai permasalahan utama pembicara wanita. Wanita mengeluh bahwa ia sedang mengalami kendala yaitu completely lost and confused about the guidelines.
632,Part B: Long Conversation,listening_simulation_367.mp3,B,Cancel the project entirely.,Eat lunch and request a temporary extension from the management.,Call the department head.,Buy a new digital manual.,"Man: Hi Jane, did you get the memo about the quarterly inventory log? 
Woman: Yes, but I am completely lost and confused about the guidelines. 
Man: Don't worry. Let's grab lunch and we can request a temporary extension from the management together.",What do the speakers plan to do?,Pertanyaan mengenai rencana tindakan. Pria mengajak wanita untuk makan siang bersama sambil melakukan penyelesaian yaitu request a temporary extension from the management.
633,Part B: Long Conversation,listening_simulation_368.mp3,A,She is unable to back up the data before the computer crashed.,She forgot to attend the lunch meeting.,She lost the printed memo.,She wants to change teams.,"Man: Hi Jane, did you get the memo about the quarterly inventory log? 
Woman: Yes, but I am unable to back up the data before the computer crashed. 
Man: Don't worry. Let's grab lunch and we can delegate the administrative tasks to the assistant together.",What is the woman's main concern?,Pertanyaan mengenai permasalahan utama pembicara wanita. Wanita mengeluh bahwa ia sedang mengalami kendala yaitu unable to back up the data before the computer crashed.
634,Part B: Long Conversation,listening_simulation_368.mp3,B,Cancel the project entirely.,Eat lunch and delegate the administrative tasks to the assistant.,Call the department head.,Buy a new digital manual.,"Man: Hi Jane, did you get the memo about the quarterly inventory log? 
Woman: Yes, but I am unable to back up the data before the computer crashed. 
Man: Don't worry. Let's grab lunch and we can delegate the administrative tasks to the assistant together.",What do the speakers plan to do?,Pertanyaan mengenai rencana tindakan. Pria mengajak wanita untuk makan siang bersama sambil melakukan penyelesaian yaitu delegate the administrative tasks to the assistant.
635,Part A (Idiom),listening_simulation_369.mp3,B,The man is sitting on the office boundary fence.,The man is undecided and needs to make a firm choice.,The man already completed the assigned spreadsheet.,The man wants to complain to the supervisor.,"Man: I am honestly still on the fence about finalizing the annual tax report. 
Woman: You need to make up your mind quickly, or the project manager will be very disappointed. 
Narrator: What does the woman imply about the man?",What does the woman imply about the man?,Menguji idiom 'on the fence' (ragu-ragu) dan 'make up your mind' (mengambil keputusan). Pilihan B benar karena merefrasa makna idiom tersebut secara akurat.
636,Part A (Idiom),listening_simulation_370.mp3,B,The man is sitting on the office boundary fence.,The man is undecided and needs to make a firm choice.,The man already completed the assigned spreadsheet.,The man wants to complain to the supervisor.,"Man: I am honestly still on the fence about finalizing the office relocation plan. 
Woman: You need to make up your mind quickly, or the marketing coordinator will be very disappointed. 
Narrator: What does the woman imply about the man?",What does the woman imply about the man?,Menguji idiom 'on the fence' (ragu-ragu) dan 'make up your mind' (mengambil keputusan). Pilihan B benar karena merefrasa makna idiom tersebut secara akurat.
637,Part A (Agreement),listening_simulation_371.mp3,B,She wants the man to repeat his statement about the timeline.,She completely agrees that the workload schedule is too demanding.,She thinks the project has already been canceled.,She prefers to work late at night rather than early morning.,"Man: The timeline to finish the office relocation plan is absurdly tight. 
Woman: You can say that again! I've been working non-stop since dawn. 
Narrator: What does the woman mean?",What does the woman mean?,Menguji ekspresi persetujuan (Agreement) 'You can say that again!' yang berarti pembicara kedua sangat setuju dengan pendapat pembicara pertama.
638,Part C: Academic Talks,listening_simulation_372.mp3,A,A comprehensive analysis of sustainable workplace design.,An announcement about office vacation.,A historical overview of banking.,A health insurance policy briefing.,"Speaker: Good morning class. Today we will explore sustainable workplace design. By introducing natural lighting and ergonomic furniture, companies report a twenty percent decrease in employee absenteeism and a massive boost in daily focus. This study will serve as our primary benchmark for corporate productivity.",What is the primary subject of the talk?,Pertanyaan mengenai gagasan utama kuliah akademik. Pembicara menyatakan bahwa pembahasan hari ini berpusat pada analisis sustainable workplace design.
639,Part C: Academic Talks,listening_simulation_372.mp3,B,To reduce employee salaries.,To set a new benchmark for corporate productivity.,To redecorate the executive lounge.,To audit the accounting software.,"Speaker: Good morning class. Today we will explore sustainable workplace design. By introducing natural lighting and ergonomic furniture, companies report a twenty percent decrease in employee absenteeism and a massive boost in daily focus. This study will serve as our primary benchmark for corporate productivity.",What is the main goal of discussing this method?,Pertanyaan informasi spesifik. Pembicara menyebutkan bahwa tujuan studi ini adalah sebagai tolok ukur baru bagi produktivitas perusahaan.
640,Part C: Academic Talks,listening_simulation_373.mp3,A,A comprehensive analysis of sustainable workplace design.,An announcement about office vacation.,A historical overview of banking.,A health insurance policy briefing.,"Speaker: Good morning class. Today we will explore sustainable workplace design. By introducing natural lighting and ergonomic furniture, companies report a twenty percent decrease in employee absenteeism and a massive boost in daily focus. This study will serve as our primary benchmark for corporate productivity.",What is the primary subject of the talk?,Pertanyaan mengenai gagasan utama kuliah akademik. Pembicara menyatakan bahwa pembahasan hari ini berpusat pada analisis sustainable workplace design.
641,Part C: Academic Talks,listening_simulation_373.mp3,B,To reduce employee salaries.,To set a new benchmark for corporate productivity.,To redecorate the executive lounge.,To audit the accounting software.,"Speaker: Good morning class. Today we will explore sustainable workplace design. By introducing natural lighting and ergonomic furniture, companies report a twenty percent decrease in employee absenteeism and a massive boost in daily focus. This study will serve as our primary benchmark for corporate productivity.",What is the main goal of discussing this method?,Pertanyaan informasi spesifik. Pembicara menyebutkan bahwa tujuan studi ini adalah sebagai tolok ukur baru bagi produktivitas perusahaan.
642,Part C: Academic Talks,listening_simulation_374.mp3,A,A comprehensive analysis of sustainable workplace design.,An announcement about office vacation.,A historical overview of banking.,A health insurance policy briefing.,"Speaker: Good morning class. Today we will explore sustainable workplace design. By introducing natural lighting and ergonomic furniture, companies report a twenty percent decrease in employee absenteeism and a massive boost in daily focus. This study will serve as our primary benchmark for corporate productivity.",What is the primary subject of the talk?,Pertanyaan mengenai gagasan utama kuliah akademik. Pembicara menyatakan bahwa pembahasan hari ini berpusat pada analisis sustainable workplace design.
643,Part C: Academic Talks,listening_simulation_374.mp3,B,To reduce employee salaries.,To set a new benchmark for corporate productivity.,To redecorate the executive lounge.,To audit the accounting software.,"Speaker: Good morning class. Today we will explore sustainable workplace design. By introducing natural lighting and ergonomic furniture, companies report a twenty percent decrease in employee absenteeism and a massive boost in daily focus. This study will serve as our primary benchmark for corporate productivity.",What is the main goal of discussing this method?,Pertanyaan informasi spesifik. Pembicara menyebutkan bahwa tujuan studi ini adalah sebagai tolok ukur baru bagi produktivitas perusahaan.
644,Part C: Academic Talks,listening_simulation_375.mp3,A,A comprehensive analysis of conflict resolution in corporate teams.,An announcement about office vacation.,A historical overview of banking.,A health insurance policy briefing.,Speaker: Good morning class. Today we will explore conflict resolution in corporate teams. Establishing clear communication channels and setting neutral boundaries early helps prevent personal bias from derailing collaborative milestones. This study will serve as our primary benchmark for corporate productivity.,What is the primary subject of the talk?,Pertanyaan mengenai gagasan utama kuliah akademik. Pembicara menyatakan bahwa pembahasan hari ini berpusat pada analisis conflict resolution in corporate teams.
645,Part C: Academic Talks,listening_simulation_375.mp3,B,To reduce employee salaries.,To set a new benchmark for corporate productivity.,To redecorate the executive lounge.,To audit the accounting software.,Speaker: Good morning class. Today we will explore conflict resolution in corporate teams. Establishing clear communication channels and setting neutral boundaries early helps prevent personal bias from derailing collaborative milestones. This study will serve as our primary benchmark for corporate productivity.,What is the main goal of discussing this method?,Pertanyaan informasi spesifik. Pembicara menyebutkan bahwa tujuan studi ini adalah sebagai tolok ukur baru bagi produktivitas perusahaan.
646,Part C: Academic Talks,listening_simulation_376.mp3,A,A comprehensive analysis of the impact of artificial intelligence on logistics.,An announcement about office vacation.,A historical overview of banking.,A health insurance policy briefing.,Speaker: Good morning class. Today we will explore the impact of artificial intelligence on logistics. Using predictive algorithms for warehouse supply chains reduces overhead storage costs by roughly fifteen percent globally. This study will serve as our primary benchmark for corporate productivity.,What is the primary subject of the talk?,Pertanyaan mengenai gagasan utama kuliah akademik. Pembicara menyatakan bahwa pembahasan hari ini berpusat pada analisis the impact of artificial intelligence on logistics.
647,Part C: Academic Talks,listening_simulation_376.mp3,B,To reduce employee salaries.,To set a new benchmark for corporate productivity.,To redecorate the executive lounge.,To audit the accounting software.,Speaker: Good morning class. Today we will explore the impact of artificial intelligence on logistics. Using predictive algorithms for warehouse supply chains reduces overhead storage costs by roughly fifteen percent globally. This study will serve as our primary benchmark for corporate productivity.,What is the main goal of discussing this method?,Pertanyaan informasi spesifik. Pembicara menyebutkan bahwa tujuan studi ini adalah sebagai tolok ukur baru bagi produktivitas perusahaan.
648,Part C: Academic Talks,listening_simulation_377.mp3,A,A comprehensive analysis of the impact of artificial intelligence on logistics.,An announcement about office vacation.,A historical overview of banking.,A health insurance policy briefing.,Speaker: Good morning class. Today we will explore the impact of artificial intelligence on logistics. Using predictive algorithms for warehouse supply chains reduces overhead storage costs by roughly fifteen percent globally. This study will serve as our primary benchmark for corporate productivity.,What is the primary subject of the talk?,Pertanyaan mengenai gagasan utama kuliah akademik. Pembicara menyatakan bahwa pembahasan hari ini berpusat pada analisis the impact of artificial intelligence on logistics.
649,Part C: Academic Talks,listening_simulation_377.mp3,B,To reduce employee salaries.,To set a new benchmark for corporate productivity.,To redecorate the executive lounge.,To audit the accounting software.,Speaker: Good morning class. Today we will explore the impact of artificial intelligence on logistics. Using predictive algorithms for warehouse supply chains reduces overhead storage costs by roughly fifteen percent globally. This study will serve as our primary benchmark for corporate productivity.,What is the main goal of discussing this method?,Pertanyaan informasi spesifik. Pembicara menyebutkan bahwa tujuan studi ini adalah sebagai tolok ukur baru bagi produktivitas perusahaan.
650,Part B: Long Conversation,listening_simulation_378.mp3,A,She is completely lost and confused about the guidelines.,She forgot to attend the lunch meeting.,She lost the printed memo.,She wants to change teams.,"Man: Hi Jane, did you get the memo about the recruitment interview schedule? 
Woman: Yes, but I am completely lost and confused about the guidelines. 
Man: Don't worry. Let's grab lunch and we can review the training video manual sent by the coordinator together.",What is the woman's main concern?,Pertanyaan mengenai permasalahan utama pembicara wanita. Wanita mengeluh bahwa ia sedang mengalami kendala yaitu completely lost and confused about the guidelines.
651,Part B: Long Conversation,listening_simulation_378.mp3,B,Cancel the project entirely.,Eat lunch and review the training video manual sent by the coordinator.,Call the department head.,Buy a new digital manual.,"Man: Hi Jane, did you get the memo about the recruitment interview schedule? 
Woman: Yes, but I am completely lost and confused about the guidelines. 
Man: Don't worry. Let's grab lunch and we can review the training video manual sent by the coordinator together.",What do the speakers plan to do?,Pertanyaan mengenai rencana tindakan. Pria mengajak wanita untuk makan siang bersama sambil melakukan penyelesaian yaitu review the training video manual sent by the coordinator.
652,Part B: Long Conversation,listening_simulation_379.mp3,A,She is completely lost and confused about the guidelines.,She forgot to attend the lunch meeting.,She lost the printed memo.,She wants to change teams.,"Man: Hi Jane, did you get the memo about the recruitment interview schedule? 
Woman: Yes, but I am completely lost and confused about the guidelines. 
Man: Don't worry. Let's grab lunch and we can delegate the administrative tasks to the assistant together.",What is the woman's main concern?,Pertanyaan mengenai permasalahan utama pembicara wanita. Wanita mengeluh bahwa ia sedang mengalami kendala yaitu completely lost and confused about the guidelines.
653,Part B: Long Conversation,listening_simulation_379.mp3,B,Cancel the project entirely.,Eat lunch and delegate the administrative tasks to the assistant.,Call the department head.,Buy a new digital manual.,"Man: Hi Jane, did you get the memo about the recruitment interview schedule? 
Woman: Yes, but I am completely lost and confused about the guidelines. 
Man: Don't worry. Let's grab lunch and we can delegate the administrative tasks to the assistant together.",What do the speakers plan to do?,Pertanyaan mengenai rencana tindakan. Pria mengajak wanita untuk makan siang bersama sambil melakukan penyelesaian yaitu delegate the administrative tasks to the assistant.
654,Part C: Academic Talks,listening_simulation_380.mp3,A,A comprehensive analysis of the impact of artificial intelligence on logistics.,An announcement about office vacation.,A historical overview of banking.,A health insurance policy briefing.,Speaker: Good morning class. Today we will explore the impact of artificial intelligence on logistics. Using predictive algorithms for warehouse supply chains reduces overhead storage costs by roughly fifteen percent globally. This study will serve as our primary benchmark for corporate productivity.,What is the primary subject of the talk?,Pertanyaan mengenai gagasan utama kuliah akademik. Pembicara menyatakan bahwa pembahasan hari ini berpusat pada analisis the impact of artificial intelligence on logistics.
655,Part C: Academic Talks,listening_simulation_380.mp3,B,To reduce employee salaries.,To set a new benchmark for corporate productivity.,To redecorate the executive lounge.,To audit the accounting software.,Speaker: Good morning class. Today we will explore the impact of artificial intelligence on logistics. Using predictive algorithms for warehouse supply chains reduces overhead storage costs by roughly fifteen percent globally. This study will serve as our primary benchmark for corporate productivity.,What is the main goal of discussing this method?,Pertanyaan informasi spesifik. Pembicara menyebutkan bahwa tujuan studi ini adalah sebagai tolok ukur baru bagi produktivitas perusahaan.
656,Part C: Academic Talks,listening_simulation_381.mp3,A,A comprehensive analysis of sustainable workplace design.,An announcement about office vacation.,A historical overview of banking.,A health insurance policy briefing.,"Speaker: Good morning class. Today we will explore sustainable workplace design. By introducing natural lighting and ergonomic furniture, companies report a twenty percent decrease in employee absenteeism and a massive boost in daily focus. This study will serve as our primary benchmark for corporate productivity.",What is the primary subject of the talk?,Pertanyaan mengenai gagasan utama kuliah akademik. Pembicara menyatakan bahwa pembahasan hari ini berpusat pada analisis sustainable workplace design.
657,Part C: Academic Talks,listening_simulation_381.mp3,B,To reduce employee salaries.,To set a new benchmark for corporate productivity.,To redecorate the executive lounge.,To audit the accounting software.,"Speaker: Good morning class. Today we will explore sustainable workplace design. By introducing natural lighting and ergonomic furniture, companies report a twenty percent decrease in employee absenteeism and a massive boost in daily focus. This study will serve as our primary benchmark for corporate productivity.",What is the main goal of discussing this method?,Pertanyaan informasi spesifik. Pembicara menyebutkan bahwa tujuan studi ini adalah sebagai tolok ukur baru bagi produktivitas perusahaan.
658,Part C: Academic Talks,listening_simulation_382.mp3,A,A comprehensive analysis of conflict resolution in corporate teams.,An announcement about office vacation.,A historical overview of banking.,A health insurance policy briefing.,Speaker: Good morning class. Today we will explore conflict resolution in corporate teams. Establishing clear communication channels and setting neutral boundaries early helps prevent personal bias from derailing collaborative milestones. This study will serve as our primary benchmark for corporate productivity.,What is the primary subject of the talk?,Pertanyaan mengenai gagasan utama kuliah akademik. Pembicara menyatakan bahwa pembahasan hari ini berpusat pada analisis conflict resolution in corporate teams.
659,Part C: Academic Talks,listening_simulation_382.mp3,B,To reduce employee salaries.,To set a new benchmark for corporate productivity.,To redecorate the executive lounge.,To audit the accounting software.,Speaker: Good morning class. Today we will explore conflict resolution in corporate teams. Establishing clear communication channels and setting neutral boundaries early helps prevent personal bias from derailing collaborative milestones. This study will serve as our primary benchmark for corporate productivity.,What is the main goal of discussing this method?,Pertanyaan informasi spesifik. Pembicara menyebutkan bahwa tujuan studi ini adalah sebagai tolok ukur baru bagi produktivitas perusahaan.
660,Part B: Long Conversation,listening_simulation_383.mp3,A,She is having a terrible misunderstanding with the logistics team.,She forgot to attend the lunch meeting.,She lost the printed memo.,She wants to change teams.,"Man: Hi Jane, did you get the memo about the customer feedback compilation? 
Woman: Yes, but I am having a terrible misunderstanding with the logistics team. 
Man: Don't worry. Let's grab lunch and we can delegate the administrative tasks to the assistant together.",What is the woman's main concern?,Pertanyaan mengenai permasalahan utama pembicara wanita. Wanita mengeluh bahwa ia sedang mengalami kendala yaitu having a terrible misunderstanding with the logistics team.
661,Part B: Long Conversation,listening_simulation_383.mp3,B,Cancel the project entirely.,Eat lunch and delegate the administrative tasks to the assistant.,Call the department head.,Buy a new digital manual.,"Man: Hi Jane, did you get the memo about the customer feedback compilation? 
Woman: Yes, but I am having a terrible misunderstanding with the logistics team. 
Man: Don't worry. Let's grab lunch and we can delegate the administrative tasks to the assistant together.",What do the speakers plan to do?,Pertanyaan mengenai rencana tindakan. Pria mengajak wanita untuk makan siang bersama sambil melakukan penyelesaian yaitu delegate the administrative tasks to the assistant.
662,Part B: Long Conversation,listening_simulation_384.mp3,A,She is having a terrible misunderstanding with the logistics team.,She forgot to attend the lunch meeting.,She lost the printed memo.,She wants to change teams.,"Man: Hi Jane, did you get the memo about the recruitment interview schedule? 
Woman: Yes, but I am having a terrible misunderstanding with the logistics team. 
Man: Don't worry. Let's grab lunch and we can take a fifteen-minute walk to clear your mind together.",What is the woman's main concern?,Pertanyaan mengenai permasalahan utama pembicara wanita. Wanita mengeluh bahwa ia sedang mengalami kendala yaitu having a terrible misunderstanding with the logistics team.
663,Part B: Long Conversation,listening_simulation_384.mp3,B,Cancel the project entirely.,Eat lunch and take a fifteen-minute walk to clear your mind.,Call the department head.,Buy a new digital manual.,"Man: Hi Jane, did you get the memo about the recruitment interview schedule? 
Woman: Yes, but I am having a terrible misunderstanding with the logistics team. 
Man: Don't worry. Let's grab lunch and we can take a fifteen-minute walk to clear your mind together.",What do the speakers plan to do?,Pertanyaan mengenai rencana tindakan. Pria mengajak wanita untuk makan siang bersama sambil melakukan penyelesaian yaitu take a fifteen-minute walk to clear your mind.
664,Part C: Academic Talks,listening_simulation_385.mp3,A,A comprehensive analysis of conflict resolution in corporate teams.,An announcement about office vacation.,A historical overview of banking.,A health insurance policy briefing.,Speaker: Good morning class. Today we will explore conflict resolution in corporate teams. Establishing clear communication channels and setting neutral boundaries early helps prevent personal bias from derailing collaborative milestones. This study will serve as our primary benchmark for corporate productivity.,What is the primary subject of the talk?,Pertanyaan mengenai gagasan utama kuliah akademik. Pembicara menyatakan bahwa pembahasan hari ini berpusat pada analisis conflict resolution in corporate teams.
665,Part C: Academic Talks,listening_simulation_385.mp3,B,To reduce employee salaries.,To set a new benchmark for corporate productivity.,To redecorate the executive lounge.,To audit the accounting software.,Speaker: Good morning class. Today we will explore conflict resolution in corporate teams. Establishing clear communication channels and setting neutral boundaries early helps prevent personal bias from derailing collaborative milestones. This study will serve as our primary benchmark for corporate productivity.,What is the main goal of discussing this method?,Pertanyaan informasi spesifik. Pembicara menyebutkan bahwa tujuan studi ini adalah sebagai tolok ukur baru bagi produktivitas perusahaan.
666,Part C: Academic Talks,listening_simulation_386.mp3,A,A comprehensive analysis of conflict resolution in corporate teams.,An announcement about office vacation.,A historical overview of banking.,A health insurance policy briefing.,Speaker: Good morning class. Today we will explore conflict resolution in corporate teams. Establishing clear communication channels and setting neutral boundaries early helps prevent personal bias from derailing collaborative milestones. This study will serve as our primary benchmark for corporate productivity.,What is the primary subject of the talk?,Pertanyaan mengenai gagasan utama kuliah akademik. Pembicara menyatakan bahwa pembahasan hari ini berpusat pada analisis conflict resolution in corporate teams.
667,Part C: Academic Talks,listening_simulation_386.mp3,B,To reduce employee salaries.,To set a new benchmark for corporate productivity.,To redecorate the executive lounge.,To audit the accounting software.,Speaker: Good morning class. Today we will explore conflict resolution in corporate teams. Establishing clear communication channels and setting neutral boundaries early helps prevent personal bias from derailing collaborative milestones. This study will serve as our primary benchmark for corporate productivity.,What is the main goal of discussing this method?,Pertanyaan informasi spesifik. Pembicara menyebutkan bahwa tujuan studi ini adalah sebagai tolok ukur baru bagi produktivitas perusahaan.
668,Part B: Long Conversation,listening_simulation_387.mp3,A,She is having a terrible misunderstanding with the logistics team.,She forgot to attend the lunch meeting.,She lost the printed memo.,She wants to change teams.,"Man: Hi Jane, did you get the memo about the client's presentation slides? 
Woman: Yes, but I am having a terrible misunderstanding with the logistics team. 
Man: Don't worry. Let's grab lunch and we can take a fifteen-minute walk to clear your mind together.",What is the woman's main concern?,Pertanyaan mengenai permasalahan utama pembicara wanita. Wanita mengeluh bahwa ia sedang mengalami kendala yaitu having a terrible misunderstanding with the logistics team.
669,Part B: Long Conversation,listening_simulation_387.mp3,B,Cancel the project entirely.,Eat lunch and take a fifteen-minute walk to clear your mind.,Call the department head.,Buy a new digital manual.,"Man: Hi Jane, did you get the memo about the client's presentation slides? 
Woman: Yes, but I am having a terrible misunderstanding with the logistics team. 
Man: Don't worry. Let's grab lunch and we can take a fifteen-minute walk to clear your mind together.",What do the speakers plan to do?,Pertanyaan mengenai rencana tindakan. Pria mengajak wanita untuk makan siang bersama sambil melakukan penyelesaian yaitu take a fifteen-minute walk to clear your mind.
670,Part C: Academic Talks,listening_simulation_388.mp3,A,A comprehensive analysis of conflict resolution in corporate teams.,An announcement about office vacation.,A historical overview of banking.,A health insurance policy briefing.,Speaker: Good morning class. Today we will explore conflict resolution in corporate teams. Establishing clear communication channels and setting neutral boundaries early helps prevent personal bias from derailing collaborative milestones. This study will serve as our primary benchmark for corporate productivity.,What is the primary subject of the talk?,Pertanyaan mengenai gagasan utama kuliah akademik. Pembicara menyatakan bahwa pembahasan hari ini berpusat pada analisis conflict resolution in corporate teams.
671,Part C: Academic Talks,listening_simulation_388.mp3,B,To reduce employee salaries.,To set a new benchmark for corporate productivity.,To redecorate the executive lounge.,To audit the accounting software.,Speaker: Good morning class. Today we will explore conflict resolution in corporate teams. Establishing clear communication channels and setting neutral boundaries early helps prevent personal bias from derailing collaborative milestones. This study will serve as our primary benchmark for corporate productivity.,What is the main goal of discussing this method?,Pertanyaan informasi spesifik. Pembicara menyebutkan bahwa tujuan studi ini adalah sebagai tolok ukur baru bagi produktivitas perusahaan.
672,Part B: Long Conversation,listening_simulation_389.mp3,A,She is unable to back up the data before the computer crashed.,She forgot to attend the lunch meeting.,She lost the printed memo.,She wants to change teams.,"Man: Hi Jane, did you get the memo about the customer feedback compilation? 
Woman: Yes, but I am unable to back up the data before the computer crashed. 
Man: Don't worry. Let's grab lunch and we can delegate the administrative tasks to the assistant together.",What is the woman's main concern?,Pertanyaan mengenai permasalahan utama pembicara wanita. Wanita mengeluh bahwa ia sedang mengalami kendala yaitu unable to back up the data before the computer crashed.
673,Part B: Long Conversation,listening_simulation_389.mp3,B,Cancel the project entirely.,Eat lunch and delegate the administrative tasks to the assistant.,Call the department head.,Buy a new digital manual.,"Man: Hi Jane, did you get the memo about the customer feedback compilation? 
Woman: Yes, but I am unable to back up the data before the computer crashed. 
Man: Don't worry. Let's grab lunch and we can delegate the administrative tasks to the assistant together.",What do the speakers plan to do?,Pertanyaan mengenai rencana tindakan. Pria mengajak wanita untuk makan siang bersama sambil melakukan penyelesaian yaitu delegate the administrative tasks to the assistant.
674,Part C: Academic Talks,listening_simulation_390.mp3,A,A comprehensive analysis of the psychology of consumer choice.,An announcement about office vacation.,A historical overview of banking.,A health insurance policy briefing.,"Speaker: Good morning class. Today we will explore the psychology of consumer choice. Limiting the number of options on a retail display reduces decision fatigue, which paradoxically increases the final conversion rate by thirty percent. This study will serve as our primary benchmark for corporate productivity.",What is the primary subject of the talk?,Pertanyaan mengenai gagasan utama kuliah akademik. Pembicara menyatakan bahwa pembahasan hari ini berpusat pada analisis the psychology of consumer choice.
675,Part C: Academic Talks,listening_simulation_390.mp3,B,To reduce employee salaries.,To set a new benchmark for corporate productivity.,To redecorate the executive lounge.,To audit the accounting software.,"Speaker: Good morning class. Today we will explore the psychology of consumer choice. Limiting the number of options on a retail display reduces decision fatigue, which paradoxically increases the final conversion rate by thirty percent. This study will serve as our primary benchmark for corporate productivity.",What is the main goal of discussing this method?,Pertanyaan informasi spesifik. Pembicara menyebutkan bahwa tujuan studi ini adalah sebagai tolok ukur baru bagi produktivitas perusahaan.
676,Part B: Long Conversation,listening_simulation_391.mp3,A,She is unable to back up the data before the computer crashed.,She forgot to attend the lunch meeting.,She lost the printed memo.,She wants to change teams.,"Man: Hi Jane, did you get the memo about the customer feedback compilation? 
Woman: Yes, but I am unable to back up the data before the computer crashed. 
Man: Don't worry. Let's grab lunch and we can take a fifteen-minute walk to clear your mind together.",What is the woman's main concern?,Pertanyaan mengenai permasalahan utama pembicara wanita. Wanita mengeluh bahwa ia sedang mengalami kendala yaitu unable to back up the data before the computer crashed.
